Titres opération et projet lauréat,Thématique
Agrandir et végétaliser les trottoirs du bas de la rue Lepic Agrandir et végétaliser les trottoirs du bas de la rue Lepic,Cadre de vie
Réaménager la rue de Mazagran et le parvis de La Poste Bonne nouvelle Réaménagement rue Mazagran et parvis la poste Bonne Nouvelle,Cadre de vie
"Réfection du sol, place Laurent Terzieff et Pascale de Boysson Réfection du sol, place Laurent Terzieff et PascaledeBoysson",Cadre de vie
Des parcours sportifs producteurs d'électricité Installation appareils fitness producteurs d'électricité,Cadre de vie
Prolongement de la coulée verte jusqu’au jardinet Brune-Vercingétorix Prolongement de la coulée verte jusqu’au jardinet Brune-Vercingétorix,Cadre de vie
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / Suppression des entourages des arbres,Environnement
Végétalisons le quartier Belleville Saint-Maur ! Végétalisons le quartier Belleville Saint-Maur ! / 01-arches végétales rue de Vaucouleurs.,Cadre de vie
Des abris pour les personnes sans domicile fixe Humanisation CHRS Relais des carrières,Solidarités
De nouveaux équipements pour les centres d'animation Richet et Dunois Remplacement sols CPA Dunois,Education et jeunesse
"En piste, encore plus d'aménagements cyclables En piste / Canal de l'Ourcq",Mobilités
Végétalisation : l’ambition verte du 12e Mettre en valeur la rue G. et M. Politzer et métamorphoser la place en terrain de pétanque fleuri,Environnement
Végétalisation : l’ambition verte du 12e Végétalisation : l’ambition verte du 12e / végétaliser le 74 bd de Bercy,Environnement
Hôtel aux insectes dans les jardins et parcs du 7e Hôtel insectes Square Pierre de Gaulle,Environnement
+ de commerces dans les quartiers populaires Lauréat Coup de Pouce Commerce: LE CHIEN DE LA LUNE,Attractivité et emploi
Des cantines plus agréables pour nos enfants dans quatre écoles du 13e Réfectoire école élémentaire 47 IVRY,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école élémentaire SAINT CHARLES,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école maternelle CEPRE,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école maternelle ALLERAY,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école élémentaire VIGEE LEBRUN,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école maternelle LACORDAIRE,Education et jeunesse
Des équipements innovants pour 10 écoles VPI école polyvalente CONVENTION,Education et jeunesse
Des marelles dans les cours d'école Marelles et jeux école élémentaire SAUSSURE,Education et jeunesse
Des marelles dans les cours d'école Marelles et jeux école élémentaire SAINT OUEN,Education et jeunesse
"Pour un arrondissement « treize accessible » aux personnes en situation de handicap, à mobilité réduite Pour un arrondissement « treize » accessible aux personnes handicapées,  à mobilité réduite",Mobilités
Défibrillateurs dans les centres sportifs du 17e Stade Porte d'Asnières,Santé
Continuer l'amélioration de l'accessibilité pour tous dans le 13e Gymnase Choisy,Cadre de vie
Sport urbain en liberté Fitness Sq. Wyszynski,Sport
Aménager des espaces sportifs dans les sept quartiers du 20e Fitness Sq. Réjane,Sport
Aménager des espaces sportifs dans les sept quartiers du 20e Fitness Sq. Karcher,Sport
Cultiver en ville Eco pâturage périphérique et cimetières,Environnement
Modernisons les Centres Paris Anim' de nos quartiers CPA Mathis,Education et jeunesse
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris Fontaine Arceau,Cadre de vie
Des fontaines à boire dans tout Paris Des fontaines à boire dans tout Paris Fontaine Arceau 0397,Cadre de vie
Rue aux enfants - Rue des Prêtres St Séverin (5e),Cadre de vie
Agir en faveur de la vitalité associative des quartiers populaires ! L'accorderie,Solidarités
Agir en faveur de la vitalité associative des quartiers populaires ! Plus loin,Solidarités
La reconquête de la Petite Ceinture La reconquête de la Petite Ceinture / Aménagement PC19,Cadre de vie
Des jardins sur les murs mur végétalisé jardin Nelson Mandela,Environnement
Alimentation : du gaspillage au partage BVRAC - Epicerie 100% Vrac,Solidarités
#TousRécup Essaimage des repair café à Paris (1/10),Solidarités
Cultiver en ville Jardin partagé 20eme - square Télégraphe,Environnement
#SousLesPavésDesFleurs #SousLesPavésDesFleurs / végétaliser les clôtures parisiennes - 75020 - Ecole Le Vau,Environnement
Plus de sport dans le 15e Tracé Foot américain - CS Suzanne Lenglen,Sport
Des sanitaires neufs pour toutes nos écoles Sanitaires école maternelle PALESTINE,Education et jeunesse
Un auvent pour les enfants de l'école Chernoviz Un auvent pour les enfants de l'école Chernoviz,Education et jeunesse
Restaurer les peintures murales de St-Pierre-du-Gros-Caillou Restaurer les peintures murales de St-Pierre-du-Gros-Caillou,Culture et patrimoine
Un podium pour les écoles du quartier Un podium pour les écoles du quartier,Education et jeunesse
Un lieu de spectacle pour les écoles Un lieu de spectacle pour les écoles,Culture et patrimoine
Restauration des murs de l'ancienne ligne d'Auteuil Restauration des murs de l'ancienne ligne d'Auteuil,Cadre de vie
"Rénover les trottoirs rues Saint-Maur, Oberkampf et Timbaud Rénover les trottoirs rues Saint-Maur, Oberkampf et Timbaud",Cadre de vie
Embellissement des escaliers du passage du Pont-aux-Biches Embellissement des escaliers du passage du Pont-aux-Biches,Culture et patrimoine
Rénovation de la rue de Belleville Rénovation de la rue de Belleville,Cadre de vie
Une salle dédiée aux Sports de Combat dans le 18e Une salle dédiée aux Sports de Combat dans le 18e,Sport
Des places de stationnement pour les deux roues Des places de stationnement pour les deux roues,Prévention et sécurité
De nouvelles rues intelligentes dans le 15e De nouvelles rues intelligentes dans le 15e,Environnement
Poursuivre la végétalisation des rues du 17e arrondissement Rue Dautancourt,Environnement
De nouveaux équipements dans les squares et jardins du 12e De nouveaux équipements dans les squares et jardins du 12e / jardin de Reuilly,Cadre de vie
Embellissement d’un poumon vert du Quartier St-Bernard Embellissement d’un poumon vert du Quartier St-Bernard / square Majorelle,Environnement
"Aménagement de l'avenue Daumesnil, le long du Viaduc des Arts Signalétique Viaduc des Arts sur la passerelle bvd Diderot (côté gare de Lyon)",Cadre de vie
Cultiver dans les écoles Cultiver dans les écoles / Ecole 3/5,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 2/4,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 5/6,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 11/17,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 10/23,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 17/20,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 10/30,Education et jeunesse
Cultiver dans les écoles Cultiver dans les écoles / Ecole 3/21,Education et jeunesse
Reconquête urbaine Reconquête urbaine / Quartier St Blaise,Cadre de vie
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 22,Education et jeunesse
Embellir les cours des écoles du 18e arrondissement Embellir les cours des écoles du 18e arrondissement / Ecole 35,Education et jeunesse
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant Balayeuses Ramasseuses électriques 3,Propreté
Du matériel de nettoiement silencieux et non polluant Du matériel de nettoiement silencieux et non polluant Aspirateur Glutton 020 4,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 28,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 34,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 40,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 74,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 88,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 102,Propreté
Du matériel de nettoiement silencieux et non polluant matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 105,Propreté
Pour que toutes les écoles du 18e aient des outils numériques innovants DOUDEAUVILLE (7) ELEM,Education et jeunesse
Mieux concevoir les lieux de détente au collège Collège Gustave Flaubert,Education et jeunesse
#MusiquePourTous Instrumenthèque Bibliothèque Hergé,Culture et patrimoine
Isolation et confort thermiques renforcés pour les écoles élémentaire 10 avenue Lamoricière,Education et jeunesse
Embellir les sanitaires dans les écoles Toilettes groupe scolaire rue martel,Education et jeunesse
#ÉcoleDeRêve Ecole maternelle Réunion,Education et jeunesse
#CoupsDeCulture Bibliothéque Lancry,Culture et patrimoine
Du vert à tous les étages Du vert à tous les étages / 20eme - toit école Belleville,Environnement
Des équipements au service de la solidarité et de la citoyenneté ESI,Solidarités
Équiper les associations du 11e en matériel neuf Petite Roquette,Solidarités
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
"Des ""mallettes de jeux "" dans les écoles du XXème Des espaces ludiques dans toutes les écoles du XXème",Education et jeunesse
Equiper les écoles du 14ème en tableaux noirs numériques Equiper les écoles du 14ème- EE Antoine Chantin,Education et jeunesse
Des boîtes à jouer et des ludothèques dans les écoles des quartiers populaires La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des chaussées rénovées ! Des chaussées rénovées ! - Avenue Edison,Cadre de vie
+ de commerces dans les quartiers populaires AMOUR DU PAYS,Attractivité et emploi
#VillePlusPropre Cendriers sondage,Propreté
#VillePlusPropre Cendriers sondage,Propreté
+ de nature en ville Cultiver dans la crèche Martyrs,Environnement
+ de nature en ville Cultiver dans la crèche Bossuet,Environnement
+ de nature en ville Cultiver dans la crèche Edouard Robert,Environnement
+ de nature en ville Cultiver dans la crèche Longues Raies,Environnement
+ de nature en ville Cultiver dans la crèche Pointe d'Ivry,Environnement
+ de nature en ville Cultiver dans la crèche Solidarité,Environnement
Des jardins sur les murs Des jardins sur les murs / Achat de nacelles pour entretien des murs végétalisés sur voie publique,Environnement
Créer 6 composteurs collectifs dans le 11e arrondissement Composteur collectif jardin Truillot,Environnement
Espaces de travail publics Espaces de travail publics - Station W,Education et jeunesse
+ de nature en ville + de nature en ville / 04-Mares et espaces de biodiversité/ square Paul Langevin,Environnement
+ de nature en ville + de nature en ville / 04-Mares et espaces de biodiversité/ Bois de Vincennes,Environnement
+ de nature en ville Mares et espaces de biodiversité / Rivière Parc Georges Brassens,Environnement
Rendre les éclairages intelligents et écologiques projets dans le 15ème,Environnement
"De la campagne dans notre arrondissement Jardin partagé , potager aromatique légumes anciens / création d'un jardin partagé rue Eugène Atget",Environnement
Plantons des arbres rue de Suez et rue Championnet ! Plantons des arbres rue de Suez et rue Championnet !,Environnement
Rénovation de l’Île aux Cygnes Rénovation de l’Île aux Cygnes,Cadre de vie
Rénovation de la chaussée de la rue de Monceau Rénovation de la chaussée rue Monceau,Cadre de vie
Rénovation de la fontaine de la place Jussieu Rénovation de la fontaine place Jussieu,Culture et patrimoine
Grange-aux-Belles : des pergolas végétales et lumineuses Rendre plus conviviale la rue Georg Friedrich Haendel,Cadre de vie
Donner de la couleur à l'escalier de la rue Levert Des couleurs sur l'escalier de la rue Levert,Culture et patrimoine
Poursuivre le réaménagement du quartier Bargue/Falguière Poursuivre le réaménagement du quartier Bargue/Falguière,Cadre de vie
