Titre de l'opération,Thématique
Moderniser le stade Poissonniers,Sport
01-Réalisation de marquages ludiques place Goldoni rue Dussoubs,Education et jeunesse
Des vidéoprojecteurs pour l'école de l'Arbre Sec,Education et jeunesse
Signaliser au sol la priorité piétons sur la place de la République,Prévention et sécurité
Des écoles OASIS/ EM Pali Kao,Environnement
02-Ajout de places à vélo rue Paul Bert,Cadre de vie
07-Pour des espaces verts rénovés - Aire de jeux du square des Saint-Simoniens,Cadre de vie
09-Pour des espaces verts rénovés - Grilles du square Edouard Vaillant,Cadre de vie
Activ'18 - La Bricole,Attractivité et emploi
Pimp Your Waste,Solidarités
Dispositifs de sensibilisation et formation de l'École de la Transition Écologique de Paris,Solidarités
Ateliers de cuisine gratuits et anti-gaspillage,Solidarités
Boîte n°9 - Des boîtes à livres pour le 10e arr.,Solidarités
03/aménagement du Canal Saint-Martin,Mobilités
dispositif antichute au niveau de la darse Stalingrad,Cadre de vie
Rénovation de l’entrée du Transfo Emmaüs,Solidarités
Transformer le préau de l'école SaintMaur pour y proposer de nouvelles activités,Cadre de vie
Couverture de 2 terrains de Tennis à Marguerite de Broquedis,Sport
Restauration du chœur de l'église de Saint Michel,Culture et patrimoine
Installation de tables de pingpong dans l'Esplanade Gaston Monnerville,Sport
Réhabilitation du parc canin,Cadre de vie
Fresque vivre-ensemble,Culture et patrimoine
Nouveaux espaces pour le conservatoire Munch,Culture et patrimoine
Aménager la piscine Roger Le Gall,Cadre de vie
Initiatives sociales et solidaires des quartiers populaires,Solidarités
"Un kiosque Porte d'Orleans pour informer les habitants sur la Transition écologique, le TZD",Environnement
Un local d'activités pour le quartier Blémont,Solidarités
CPA Rébeval,Education et jeunesse
Equiper toutes les écoles des quartiers prioritaires du 10e de Tableaux Numériques Interactifs (TNI)/EE Claude Vellefaux,Education et jeunesse
Instruments pour les enfants des écoles et collèges,Culture et patrimoine
Du sols souples pour les cours collectifs au parc Brassens,Sport
Fresques pour des établissements scolaires,Culture et patrimoine
Rénovation de la salle d'arme Fragonard,Sport
Œuvre médiathèque Violette Leduc,Culture et patrimoine
Un parc canin square Ernest Gouin,Cadre de vie
"Rénovation et équipements des locaux de l'association Basiliade Uraca, dédié à la prévention sanitaire et sociale",Solidarités
Aménagement d'un caniparc dans le square Paul Gilot,Cadre de vie
Aire de jeux totalement inclusive au square Maurice Gardette,Solidarités
Ralentisseurs et revêtements phoniques - 03/St Pétersbourg,Prévention et sécurité
Des arbres rue Jouffroy d'Abbans,Environnement
Aménagement d'aires de sport urbain dans le 17e arrondissement,Sport
Réféctoire CHOISY-PERRET,Education et jeunesse
Réhabilitation de la piste cyclable boulevard Vincent Auriol,Mobilités
Jardin Compans,Sport
Rendre piétonne la rue Edouard Quénu,Prévention et sécurité
Plantation de plantes médicinales(1 Rue Lacépède 75005),Cadre de vie
Mieux éclairer le viaduc de la Ligne 2 du métro aérien,Environnement
Montmartre accessible à tous,Mobilités
Sanitaires école maternelle OLIVIER METRA,Cadre de vie
Développer l'aide aux personnes en situation de précarité,Solidarités
Tour Saint-Jacques pour tous,Culture et patrimoine
Hôtel insectes Jardin de la Mairie du 7ème,Environnement
Parcours de santé au Champ de Mars,Sport
Des arbres pour la rue Cler,Cadre de vie
Piano MDA 7,Culture et patrimoine
Une Maison de santé pour le 15e,Solidarités
Square de la Salamandre,Cadre de vie
JEUX D'EXTERIEUR POUR ENFANTS,Cadre de vie
Réaménagement de la rue de Charonne (11e),Cadre de vie
Restaurations au square René Le Gall,Culture et patrimoine
Améliorer l'accueil école élementaire 173 CHATEAU DES RENTIERS,Education et jeunesse
Ligne 6,Cadre de vie
Parcours mise en valeur quartiers Belleville-Ménilmontant,Cadre de vie
Boomforest - Une forêt opensource,Environnement
Amphithéâtre cardinal Wyszynski,Cadre de vie
Végétalisation : l’ambition verte du 12e / Plantation d'arbres rue de Gravelle,Environnement
Végétaliser les murs et les toits dans le 15ème / 02-mur végétalisé 55 rue blomet (Square de l'Oiseau Lunaire ex-Blomet),Cadre de vie
Le passage sous le Pont d'Austerlitz,Cadre de vie
mur peint 1er arrondissement,Culture et patrimoine
Restauration du skate park de Peter Kogler,Culture et patrimoine
Végétalisation école élémentaire NEUVE SAINT PIERRE,Environnement
Respirons mieux dans le XXe / Subvention à Airparif pour la mise en place de capteurs de pollution de l'air,Environnement
Aménager espace trottoir élargi 15 rue Petit Musc,Cadre de vie
Studio de musique CPA Richet,Education et jeunesse
Prolongement de l'éclairage multicolore du Canal de l'Ourcq,Cadre de vie
Création d'un parc canin jardin des Grands explorateurs,Propreté
Rénovation de la fontaine,Cadre de vie
Des locaux associatifs ouverts dans un pavillon abandonné,Solidarités
Rénovation de la Rotonde du Parc Monceau,Culture et patrimoine
Rénovation de la piscine Mathis,Sport
Terrain de foot à 5 au CS Courcelles,Sport
Réfectoires école maternelle ARMAND ROUSSEAU,Education et jeunesse
Un 12e encore plus végétalisé ! / Installer des jardinières pleine-terre dans l’alignement des arbres et dans les espaces sans mobilier dans la rue Roland Barthes,Cadre de vie
23Square de la Paix,Sport
Laboratoire de l'économie solidaire et circulaire Envie,Solidarités
Mobilier appartements relais du pôle jeune,Solidarités
CPA Richet,Cadre de vie
10-Ruchers dans la forêt linéaire (ruches foret linéaire Sud),Environnement
"Une promenade plantée pour le boulevard de Charonne /  parcours sportif, mise en oeuvre DJS",Environnement
Pour des trottoirs plus larges et plus confortables,Mobilités
Lauréat Coup de Pouce Commerce: MICRO BRASSERIE BALTHAZAR,Attractivité et emploi
Outils numériques école élémentaire Milton-21,Education et jeunesse
Lauréat Coup de Pouce Commerce: SOCIAL BAR,Attractivité et emploi
Albert Retouche (retoucherie),Attractivité et emploi
Cour récréation école maternelle SIMONE WEIL,Education et jeunesse
Cour récréation école élémentaire et maternelle JENNER / COUR OASIS,Education et jeunesse
Réfectoire école maternelle BRECHE AUX LOUPS,Education et jeunesse
Réfectoire école élémentaire 57 REUILLY A,Education et jeunesse
VPI école élémentaire CORBON,Education et jeunesse
Association Espaces,Solidarités
Sécuriser les chemins des écoles du 12e,Prévention et sécurité
Coworking l'Etablisienne,Attractivité et emploi
Gymn. Pierre Rémond,Santé
Gymn. Glacière,Cadre de vie
Gymn. Stadium 13,Cadre de vie
SWO et fitness Sq. des Joncquilles,Sport
Mini foot et fitness Sq. Aurélie Salel,Sport
Colonne à verre enterrée - 16 av. de Trudaine (9e),Propreté
Rue aux enfants Rue Poulmarch 10e,Cadre de vie
Aménagement du jardin du centre d'hébergement de la Poterne des Peupliers,Environnement
"Ecole Jean Jaurès, 160 avenue Jean Jaurès 19e",Environnement
Espaces de travail publics - Le Danube Palace,Education et jeunesse
Acquisition de matériel électrique (DPE -Tout Paris),Propreté
Negozio Leggero,Solidarités
De nouvelles maisons de santé pour le 15ème,Santé
Espace canin aux abords du parc Luther-King,Cadre de vie
Améliorer le cadre de vie à l'école des Épinettes,Education et jeunesse
Loisirs pour les enfants valides et handicapés,Education et jeunesse
Un Fab Lab à l’ENSAAMA,Education et jeunesse
Rénover les tennis du Centre Sportif Bertrand DAUVIN,Sport
Sécuriser des traversées piétonnes aux abords des équipements publics,Prévention et sécurité
Améliorer les conditions d’accueil des tout-petits,Education et jeunesse
Square Charles Hermite,Environnement
Skate-park au parc Suzanne Lenglen,Sport
Développement du golf,Sport
Pétillante Totem,Cadre de vie
Pour une gestion de l'eau améliorée ! / 051 - Amélioration de la gestion de l'eau dans les jardins / jardin d'Auteuil,Environnement
Végétalisation du Viaduc des Arts,Cadre de vie
Cultiver dans les écoles / Ecole 3/7,Education et jeunesse
Cultiver dans les écoles / Ecole 4/18,Education et jeunesse
Cultiver dans les écoles / Ecole 1/17,Education et jeunesse
Cultiver dans les écoles / Ecole 8/17,Education et jeunesse
Cultiver dans les écoles / Ecole 3/23,Education et jeunesse
Cultiver dans les écoles / Ecole 12/23,Education et jeunesse
Cultiver dans les écoles / Ecole 14/23,Education et jeunesse
Cultiver dans les écoles / Ecole 6/11,Education et jeunesse
Cultiver dans les écoles / Ecole 21/30,Education et jeunesse
Cultiver dans les écoles / Ecole 15/21,Education et jeunesse
Reconquête urbaine / Porte Montmartre,Cadre de vie
Reconquête urbaine / Square Lichtenberger,Cadre de vie
Embellir les cours des écoles du 18e arrondissement / Ecole 13,Education et jeunesse
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 12,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 14,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 57,Propreté
matériel de nettoiement silencieux et non polluant Souffleuses électriques 021 69,Propreté
matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 7,Propreté
matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 8,Propreté
matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 9,Propreté
matériel de nettoiement silencieux et non polluant Batterie Souffleuses électriques 11,Propreté
CARPEAUX (5-7) MAT,Education et jeunesse
FOREST (14) POLY,Education et jeunesse
FRANCOISE DORLEAC ELEM B,Education et jeunesse
GOUTTE D'OR (49B)  POLY,Education et jeunesse
JOSEPH DE MAISTRE (94) MAT,Education et jeunesse
52 RUE VAUVENARGUES,Education et jeunesse
Bibliothèque Hergé,Culture et patrimoine
Plus d’arbres dans les rues du 10e /  2 arbres rue Ambroise Paré,Environnement
Rénovation les toilettes de l'Ecole maternelle Tolbiac,Education et jeunesse
GS aubervillliers,Education et jeunesse
Ecole élémentaire Mare,Education et jeunesse
Bis Boutique Solidaire,Solidarités
Equiper les associations du 11e en matériel neuf (AGECA),Solidarités
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
Des espaces ludiques dans toutes les écoles du XXème,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs A,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
La Boîte à Jouer-option jeux d'exterieurs,Education et jeunesse
Des chaussées rénovées ! - Rue Hippolyte Marquès,Cadre de vie
Projet Oasis Ecole Titon 11ème,Environnement
BOUTON D'OR,Attractivité et emploi
Ecole Cherbourg 15e,Environnement
Cultiver dans la crèche Perle,Environnement
Cultiver dans la crèche Godefroy Cavaignac,Environnement
Cultiver dans la crèche Jules Dupré,Environnement
Cultiver dans la crèche Charles Hermite,Environnement
Cultiver dans la crèche Fontaine-à-Mulard,Environnement
"Epicerie bio et vrac ""TOUT BON""",Solidarités
Cultiver en ville / Jardin partagé -12eme - Subvention Baleine verte,Environnement
RQ Saint-Blaise Charonne,Solidarités
2 boîtes à livres au square des Poissonniers (GRAJAR),Culture et patrimoine
"Mares et espaces de biodiversité / La vallée, Parc de bercy",Environnement
+ de nature en ville / 04-Mares et espaces de biodiversité/ Bois de Vincennes route Dauphine,Environnement
Mares et espaces de biodiversité dans les QP / Square Emmanuel Fleury,Environnement
2 FRESQUES SUR DES MURS EMBLEMATIQUES A REUILLY SAINT ELOI,Culture et patrimoine
"« Respirons mieux à Paris » (sensibilisation sur tout Paris, scolaire et grand public, sur la qualité de l’air)",Environnement
Sécurisation passages piétons Avenue Mozart et rue Raffet,Prévention et sécurité
Ecole Saint-Bernard,Education et jeunesse
Réfection de la piste d'athlétisme,Sport
A bas les rats,Propreté
Sécurisation accès au parc,Prévention et sécurité
Gouvernance des canaux,Cadre de vie
L'agriculture urbaine au service de l'innovation sociale,Solidarités
F- SUIV 002280 - Améliorons l’environnement des usages du bois de Vincennes / 01 - Des éclairages rénovés dans le bois de Vincennes,Environnement
Une voirie pour toutes les mobilités / Rue d'Assas entre Madame et Vavin,Mobilités
Une voirie pour toutes les mobilités / Ernest Lavisse,Mobilités
Une voirie pour toutes les mobilités / Bld de la Chapelle entre Barbès et Maubeuge,Mobilités
F- SUIV 001909 - Coulée verte et potager urbain solidaire rue de l'Arsenal / 02 - murs végétalisés,Cadre de vie
Du matériel pour les évenements sportifs,Sport
Des dispositifs sensoriels dans les parcs et jardins,Solidarités
+ de nature en ville / 03-Espace de biodiversité  Avenue René Coty,Environnement
Cours Oasis école Sourdière,Environnement
Art dans la ville - fresques dans les écoles,Culture et patrimoine
Art dans la ville - fresques dans les écoles,Culture et patrimoine
- + de nature en ville / 13-Complément de financement C1303 - Créer une ruche place du Général Catroux),Environnement
#SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Débitumage rue de l'Interne  Loeb  à Paris 13eme,Environnement
Action 1 : installation de panneaux solaires - école Maurice Genevoix (18e),Environnement
#SousLesPavésDesFleurs / Du gazon sur les trottoirs  / Débituminage rue Philidor,Environnement
#SousLesPavésDesFleurs / Du gazon sur les trottoirs / Débitumage 23 rue Richomme à paris 18eme,Environnement
Le Bouquin qui Bulle,Solidarités
jeunesse feu vert,Solidarités
Embellissons les écoles de nos quartiers-EM Barbanègre,Education et jeunesse
Un nouveau bus dentaire,Santé
Le plaisir de lire dans l' EE Rouvier,Education et jeunesse
Ecole Souzy,Education et jeunesse
Dispositif sonore pour le bien-être auditif et socio-spatial,Environnement
